Year,Competition,0,1,2,3,4,5,6,7
2022,COAS Indoors 2022,WA 18m,Recurve Men,Keith Swanepoel,Warfield,254.0,225.0,479,5.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Adrian Mustey,Bampton,233.0,241.0,474,11.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Ren McBain,Wallingford,233.0,238.0,471,10.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Andrew Edwards,Compton,221.0,237.0,458,7.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Dimitrios Christou,Wallingford,224.0,227.0,451,9.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,David Zilberberg,South Oxon,220.0,203.0,423,6.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Steve Howe,Wallingford,187.0,173.0,360,2.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Russell Shepherd,Bampton,177.0,182.0,359,0.0
2022,COAS Indoors 2022,WA 18m,Recurve Men,Tom Moorhouse,Oxford,,,DNS,
2022,COAS Indoors 2022,WA 18m,Recurve Men,Emil Sattarov,Aquarius,,,DNS,
2022,COAS Indoors 2022,WA 18m,Recurve Men,Matthew Greetham,Wallingford,,,DNS,
2022,COAS Indoors 2022,WA 18m,Recurve Women,Bryony Pitman,Worthing,292.0,296.0,588,48.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Ecaterina Pogorenii,Oxford Uni,269.0,267.0,536,15.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Imogen Sullivan-Bell,Archways,259.0,257.0,516,13.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,El̩onore Cossade,Oxford,246.0,242.0,488,12.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Becky Stacey,Wallingford,233.0,255.0,488,11.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Maisie Grimsditch,Wallingford,243.0,238.0,481,13.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Alethea Russell,Wallingford,245.0,235.0,480,12.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Erin King,Wallingford,220.0,228.0,448,6.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Erithelgi-Dionysia Meramveliotaki,Wallingford,198.0,194.0,392,1.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Chloe Pink,Oxford,147.0,203.0,350,1.0
2022,COAS Indoors 2022,WA 18m,Recurve Women,Joanne Martin,Aquarius,,,DNS,
2022,COAS Indoors 2022,WA 18m,Recurve Women,Hannah Ackland-Snow,Oxford,,,DNS,
2022,COAS Indoors 2022,WA 18m,Compound Men,Thomas Lane,Wilford,289.0,288.0,577,37.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Nigel Lane,Wilford,285.0,283.0,568,28.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Oscar Orford,Silver Spoon,283.0,285.0,568,28.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Ritchie Shorthouse,Compton,282.0,279.0,561,23.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Ben Glover,Oxford,277.0,271.0,548,19.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Ray Park,Wallingford,271.0,275.0,546,14.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Jose Goncalves,AGB,274.0,269.0,543,14.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Chris Wood,Wallingford,272.0,271.0,543,11.0
2022,COAS Indoors 2022,WA 18m,Compound Men,Graham Smith,Bampton,268.0,266.0,534,11.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Ella Gibson,Deer Park,295.0,300.0,595,55.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Grace Chappell,Deer Park,289.0,290.0,579,39.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Susan Corless,Northampton,283.0,289.0,572,32.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Nat Merry,Oxford,285.0,282.0,567,27.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Mia McGuane,Sittingbourne,277.0,277.0,554,15.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Kat Baier,Oxford,273.0,269.0,542,11.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Nicola Wood,Wallingford,268.0,271.0,539,11.0
2022,COAS Indoors 2022,WA 18m,Compound Women,Amy Ackland-Snow,Oxford,231.0,253.0,484,6.0
2022,COAS Indoors 2022,WA 18m,Longbow Women,Georgina Cutts,Oxford Uni,,,DNS,
2022,COAS Indoors 2022,WA 18m,Barebow Men,Oliver Hicks,Warfield,283.0,276.0,559,29.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Tony Gedalovitch,Noak Hill,257.0,260.0,517,14.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Mark Trickey,Llandaff City,225.0,235.0,460,11.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Ernest Townsend,Oxford,198.0,195.0,393,3.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Kevin McGuane,Sittingbourne,168.0,218.0,386,2.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Ben Marshman,Compton,152.0,139.0,291,3.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Mike Perfect,Compton,138.0,140.0,278,1.0
2022,COAS Indoors 2022,WA 18m,Barebow Men,Omar Hussain,Woking,,,DNS,
2022,COAS Indoors 2022,WA 18m,Barebow Women,Cheryl King,Wallingford,245.0,254.0,499,12.0
2022,COAS Indoors 2022,WA 18m,Barebow Women,Saran Saengchat,Llandaff City,188.0,218.0,406,3.0
2022,COAS Indoors 2022,WA 18m,Barebow Women,Natalie Allen,Compton,193.0,207.0,400,4.0
